## Execution counts

<details>
<summary> execution counts for all instructions </summary>

|Name | Count | Self | Cumulative | Miss ratio | 
|---|---:|---:|---:|---:|
| LOAD_FAST | 21,451,206,921 | 18.7% | 18.7% |  |
| STORE_FAST | 5,748,024,892 | 5.0% | 23.7% |  |
| POP_JUMP_IF_FALSE | 5,742,277,241 | 5.0% | 28.7% |  |
| RESUME_CHECK | 5,480,302,861 | 4.8% | 33.5% | 0.0% |
| LOAD_CONST | 5,381,466,485 | 4.7% | 38.2% |  |
| LOAD_FAST_LOAD_FAST | 4,802,317,423 | 4.2% | 42.4% |  |
| LOAD_ATTR_INSTANCE_VALUE | 3,865,500,939 | 3.4% | 45.7% | 4.8% |
| RETURN_VALUE | 3,249,124,726 | 2.8% | 48.6% |  |
| TO_BOOL_BOOL | 3,124,359,155 | 2.7% | 51.3% | 0.0% |
| LOAD_GLOBAL_BUILTIN | 3,115,781,564 | 2.7% | 54.0% | 0.0% |
| POP_TOP | 2,991,525,593 | 2.6% | 56.6% |  |
| LOAD_GLOBAL_MODULE | 2,806,956,245 | 2.4% | 59.1% | 0.0% |
| CALL_PY_EXACT_ARGS | 2,481,055,987 | 2.2% | 61.2% | 2.0% |
| STORE_FAST_STORE_FAST | 2,219,271,337 | 1.9% | 63.2% |  |
| LOAD_ATTR_METHOD_WITH_VALUES | 1,857,795,699 | 1.6% | 64.8% | 7.8% |
| ENTER_EXECUTOR | 1,828,741,847 | 1.6% | 66.4% |  |
| INTERPRETER_EXIT | 1,636,942,809 | 1.4% | 67.8% |  |
| RETURN_CONST | 1,616,964,344 | 1.4% | 69.2% |  |
| LOAD_ATTR_SLOT | 1,461,605,462 | 1.3% | 70.5% | 3.5% |
| POP_JUMP_IF_TRUE | 1,253,668,881 | 1.1% | 71.6% |  |
| PUSH_NULL | 1,156,097,594 | 1.0% | 72.6% |  |
| COMPARE_OP_INT | 1,150,656,090 | 1.0% | 73.6% | 0.0% |
| LOAD_ATTR | 1,111,202,510 | 1.0% | 74.6% |  |
| STORE_ATTR_SLOT | 1,035,484,220 | 0.9% | 75.5% | 2.1% |
| CALL | 1,010,210,964 | 0.9% | 76.3% |  |
| YIELD_VALUE | 1,004,504,234 | 0.9% | 77.2% |  |
